code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_macron,voix_pct_macron,voix_melenchon,voix_pct_melenchon,voix_fillon,voix_pct_fillon,voix_hamon,voix_pct_hamon,voix_lepen,voix_pct_lepen,voix_dupont_aignan,voix_pct_dupont_aignan,voix_lassalle,voix_pct_lassalle,voix_poutou,voix_pct_poutou,voix_arthaud,voix_pct_arthaud,voix_cheminade,voix_pct_cheminade,voix_asselineau,voix_pct_asselineau
44198,Les Sorinières,244400404,presidentielle,2017,1,2017-04-23,6103,4939,1164,63,20,4856,0.8093387285699074,0.012775475297677785,0.003986579830274324,1455,0.29962932454695224,1202,0.2475288303130148,955,0.19666392092257,559,0.11511532125205931,336,0.06919275123558484,113,0.02327018121911038,80,0.016474464579901153,71,0.014621087314662273,23,0.004736408566721581,9,0.0018533772652388797,53,0.010914332784184515
44094,Mauves-sur-Loire,244400404,presidentielle,2017,1,2017-04-23,2260,1829,431,23,7,1798,0.8093387285699074,0.012775475297677785,0.003986579830274324,539,0.29977753058954393,445,0.2474972191323693,354,0.19688542825361513,207,0.11512791991101223,123,0.06840934371523916,42,0.02335928809788654,30,0.01668520578420467,26,0.014460511679644048,8,0.004449388209121246,4,0.002224694104560623,20,0.011123470522803115
44109,Nantes,244400404,presidentielle,2017,1,2017-04-23,216505,175226,41279,2239,699,172289,0.8093387285699074,0.012775475297677785,0.003986579830274324,51612,0.29956642617926854,42652,0.2475607844958181,33898,0.1967508082350005,19828,0.11508569902895716,11924,0.06920929368677048,3996,0.023193587518645996,2837,0.016466518466065738,2513,0.014585957315905252,804,0.004666577668916762,336,0.001950211563129393,1889,0.010964135841522093
44114,Orvault,244400404,presidentielle,2017,1,2017-04-23,18876,15277,3599,195,61,15021,0.8093387285699074,0.012775475297677785,0.003986579830274324,4500,0.2995805871779509,3719,0.24758671193662207,2955,0.19672458558018774,1729,0.11510551894015046,1040,0.06923640237001531,348,0.023167565408428202,247,0.016443645562878636,219,0.01457958857599361,70,0.004660142467212569,29,0.00193063045070235,165,0.010984621529858199
44143,Rezé,244400404,presidentielle,2017,1,2017-04-23,28871,23367,5505,299,93,22975,0.8093387285699075,0.012775475297677783,0.003986579830274324,6883,0.29958650707290535,5688,0.2475734494015234,4520,0.19673558215451578,2644,0.1150816104461371,1590,0.0692056583242655,533,0.023199129488574537,378,0.01645266594124048,335,0.014581066376496192,107,0.0046572361262241565,45,0.001958650707290533,252,0.010968443960826985
44150,Saint-Aignan-Grandlieu,244400404,presidentielle,2017,1,2017-04-23,2658,2151,507,27,9,2115,0.8093387285699075,0.012775475297677785,0.003986579830274324,634,0.29976359338061465,524,0.24775413711583924,416,0.1966903073286052,243,0.1148936170212766,146,0.0690307328605201,49,0.023167848699763592,35,0.016548463356973995,31,0.014657210401891253,10,0.004728132387706856,4,0.0018912529550827422,23,0.010874704491725768
44162,Saint-Herblain,244400404,presidentielle,2017,1,2017-04-23,33675,27254,6420,348,109,26798,0.8093387285699074,0.012775475297677785,0.003986579830274324,8028,0.2995745951190387,6634,0.24755578774535414,5272,0.19673109933577132,3084,0.11508321516531085,1855,0.06922158370027615,622,0.02321068736472871,441,0.01645645197402791,391,0.014590641092618852,125,0.004664527203522651,52,0.0019404433166654229,294,0.010970967982685275
44166,Saint-Jean-de-Boiseau,244400404,presidentielle,2017,1,2017-04-23,4012,3247,765,41,13,3193,0.8093387285699074,0.012775475297677783,0.003986579830274324,957,0.29971813341684933,790,0.2474162229877858,628,0.19668023802067022,367,0.11493892890698403,221,0.0692139054181021,74,0.023175696836830566,53,0.01659880989664892,47,0.014719699342311305,15,0.004697776385844034,6,0.0018791105543376136,35,0.01096147823363608
44171,Saint-Léger-les-Vignes,244400404,presidentielle,2017,1,2017-04-23,1408,1139,268,15,5,1120,0.8093387285699075,0.012775475297677785,0.003986579830274324,336,0.3,277,0.24732142857142858,220,0.19642857142857142,129,0.11517857142857142,78,0.06964285714285715,26,0.023214285714285715,19,0.016964285714285713,16,0.014285714285714285,5,0.004464285714285714,2,0.0017857142857142857,12,0.010714285714285714
44190,Saint-Sébastien-sur-Loire,244400404,presidentielle,2017,1,2017-04-23,18897,15294,3603,195,61,15038,0.8093387285699074,0.012775475297677785,0.003986579830274324,4505,0.29957441149088976,3723,0.24757281553398058,2959,0.19676818725894402,1731,0.11510839207341401,1041,0.06922463093496475,349,0.02320787338741854,248,0.016491554728022342,219,0.014563106796116505,70,0.0046548743183934035,28,0.0018619497273573613,165,0.010972203750498736
44172,Sainte-Luce-sur-Loire,244400404,presidentielle,2017,1,2017-04-23,10807,8747,2061,112,35,8600,0.8093387285699074,0.012775475297677785,0.003986579830274324,2576,0.29953488372093023,2129,0.24755813953488373,1692,0.19674418604651162,990,0.11511627906976744,595,0.06918604651162791,200,0.023255813953488372,142,0.016511627906976745,125,0.014534883720930232,40,0.004651162790697674,17,0.0019767441860465114,94,0.010930232558139534
44194,Sautron,244400404,presidentielle,2017,1,2017-04-23,5684,4600,1084,59,18,4523,0.8093387285699074,0.012775475297677785,0.003986579830274324,1355,0.29957992482865353,1120,0.24762325889896086,890,0.1967720539464957,521,0.11518903382710591,313,0.06920185717444174,105,0.02321468052177758,73,0.016139730267521555,66,0.01459208489940305,21,0.004642936104355516,9,0.001989829759009507,50,0.011054609772275039
44204,Thouaré-sur-Loire,244400404,presidentielle,2017,1,2017-04-23,7297,5906,1391,75,24,5807,0.8093387285699074,0.012775475297677783,0.003986579830274324,1739,0.2994661615291889,1438,0.24763216807301533,1142,0.19665920440847254,668,0.1150335801618736,402,0.06922679524711554,135,0.02324780437403134,96,0.016531771999311176,85,0.014637506457723437,27,0.004649560874806269,11,0.0018942655415877389,64,0.011021181332874117
44215,Vertou,244400404,presidentielle,2017,1,2017-04-23,17349,14041,3308,179,56,13806,0.8093387285699074,0.012775475297677785,0.003986579830274324,4136,0.2995798928002318,3418,0.24757351875995945,2716,0.1967260611328408,1589,0.11509488628132696,957,0.06931768796175576,320,0.023178328263074026,227,0.016442126611618136,201,0.014558887440243373,64,0.004635665652614805,27,0.001955671447196871,151,0.010937273649138057
