code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_lrem,voix_pct_lrem,voix_lr,voix_pct_lr,voix_lfi,voix_pct_lfi,voix_rn,voix_pct_rn,voix_ps,voix_pct_ps,voix_eelv,voix_pct_eelv,voix_modem,voix_pct_modem,voix_other,voix_pct_other
44094,Mauves-sur-Loire,244400404,legislative,2017,1,2017-06-11,2260,1401,859,42,28,1331,0.62,0.03,0.02,626,0.47032306536438767,213,0.16003005259203607,160,0.12021036814425244,93,0.06987227648384674,67,0.05033809166040571,52,0.03906836964688205,53,0.039819684447783624,67,0.05033809166040571
44109,Nantes,244400404,legislative,2017,1,2017-06-11,216505,134233,82272,4027,2685,127522,0.62,0.03,0.02,59935,0.46999733379338465,20403,0.15999592227223539,15303,0.12000282304229859,8927,0.07000360722071486,6376,0.049999215821583724,5101,0.040000941014099525,5101,0.040000941014099525,6376,0.049999215821583724
44114,Orvault,244400404,legislative,2017,1,2017-06-11,18876,11703,7173,351,234,11118,0.62,0.03,0.02,5225,0.4699586256520957,1779,0.16001079330814894,1334,0.11998560892246807,778,0.06997661449901062,556,0.05000899442345746,445,0.040025184385680874,445,0.040025184385680874,556,0.05000899442345746
44143,Rezé,244400404,legislative,2017,1,2017-06-11,28871,17900,10971,537,358,17005,0.62,0.03,0.02,7993,0.4700382240517495,2721,0.16001176124669214,2041,0.1200235224933843,1190,0.06997941781828874,850,0.049985298441634816,680,0.03998823875330785,680,0.03998823875330785,850,0.049985298441634816
44150,Saint-Aignan-Grandlieu,244400404,legislative,2017,1,2017-06-11,2658,1648,1010,49,33,1566,0.62,0.029999999999999995,0.02,736,0.46998722860791825,250,0.15964240102171137,188,0.12005108556832694,110,0.070242656449553,78,0.04980842911877394,63,0.040229885057471264,63,0.040229885057471264,78,0.04980842911877394
44162,Saint-Herblain,244400404,legislative,2017,1,2017-06-11,33675,20878,12796,626,418,19835,0.62,0.03,0.02,9322,0.46997731283085453,3174,0.16002016637257374,2380,0.11998991681371313,1389,0.07002772876228888,992,0.05001260398285858,793,0.03997983362742627,793,0.03997983362742627,992,0.05001260398285858
44166,Saint-Jean-de-Boiseau,244400404,legislative,2017,1,2017-06-11,4012,2488,1525,75,50,2363,0.62,0.03,0.02,1111,0.4701650444350402,378,0.1599661447312738,284,0.12018620397799408,164,0.06940330088870081,118,0.04993652137113838,95,0.040203131612357175,95,0.040203131612357175,118,0.04993652137113838
44171,Saint-Léger-les-Vignes,244400404,legislative,2017,1,2017-06-11,1408,873,535,26,17,829,0.62,0.03,0.02,390,0.4704463208685163,133,0.16043425814234016,100,0.12062726176115803,58,0.06996381182147166,41,0.04945717732207479,33,0.039806996381182146,33,0.039806996381182146,41,0.04945717732207479
44190,Saint-Sébastien-sur-Loire,244400404,legislative,2017,1,2017-06-11,18897,11716,7181,351,234,11130,0.62,0.03,0.02,5230,0.46990116801437554,1781,0.16001796945193172,1336,0.12003593890386344,779,0.06999101527403415,557,0.05004492362982929,445,0.03998203054806829,445,0.03998203054806829,557,0.05004492362982929
44172,Sainte-Luce-sur-Loire,244400404,legislative,2017,1,2017-06-11,10807,6701,4107,201,134,6365,0.62,0.03,0.019999999999999997,2992,0.47007069913589944,1017,0.15978004713275726,764,0.12003142183817753,446,0.07007069913589944,318,0.04996072270227808,255,0.04006284367635507,255,0.04006284367635507,318,0.04996072270227808
44194,Sautron,244400404,legislative,2017,1,2017-06-11,5684,3524,2160,106,70,3348,0.62,0.03,0.02,1574,0.470131421744325,536,0.16009557945041816,402,0.12007168458781362,234,0.06989247311827956,167,0.049880525686977296,134,0.04002389486260454,134,0.04002389486260454,167,0.049880525686977296
44204,Thouaré-sur-Loire,244400404,legislative,2017,1,2017-06-11,7297,4524,2773,136,90,4298,0.62,0.03,0.02,2019,0.46975337366216846,688,0.16007445323406236,516,0.12005583992554676,301,0.07003257328990228,215,0.050023266635644485,172,0.04001861330851559,172,0.04001861330851559,215,0.050023266635644485
44215,Vertou,244400404,legislative,2017,1,2017-06-11,17349,10756,6593,323,215,10218,0.62,0.029999999999999995,0.02,4803,0.47005284791544333,1635,0.16001174398120963,1226,0.11998434135838716,714,0.06987668819729888,511,0.050009786651008026,409,0.04002740262282247,409,0.04002740262282247,511,0.050009786651008026
