code_commune_insee,nom_commune,code_epci,type_scrutin,annee,tour,date_scrutin,inscrits,votants,abstention,blancs,nuls,exprimes,turnout_pct,blancs_pct,nuls_pct,voix_eelv,voix_pct_eelv,voix_ps,voix_pct_ps,voix_lrem,voix_pct_lrem,voix_lr,voix_pct_lr,voix_lfi,voix_pct_lfi,voix_rn,voix_pct_rn,voix_other,voix_pct_other
44198,Les Sorinières,244400404,municipale,2020,1,2020-03-15,6287,2704,3584,108,81,2514,0.43,0.04,0.03,704,0.28003182179793157,704,0.28003182179793157,402,0.15990453460620524,327,0.13007159904534607,226,0.08989657915672236,76,0.030230708035003977,75,0.029832935560859187
44094,Mauves-sur-Loire,244400404,municipale,2020,1,2020-03-15,2328,1001,1327,40,30,931,0.43,0.04,0.03,261,0.280343716433942,261,0.280343716433942,149,0.16004296455424274,120,0.1288936627282492,84,0.09022556390977443,28,0.03007518796992481,28,0.03007518796992481
44109,Nantes,244400404,municipale,2020,1,2020-03-15,223066,95918,127147,3837,2878,89204,0.43,0.04,0.029999999999999995,24977,0.27999865476884445,24977,0.27999865476884445,14273,0.16000403569346666,11597,0.13000538092462222,8028,0.08999596430653334,2676,0.029998654768844446,2676,0.029998654768844446
44114,Orvault,244400404,municipale,2020,1,2020-03-15,19448,8363,11085,335,251,7777,0.43,0.04,0.03,2178,0.28005657708628007,2178,0.28005657708628007,1244,0.15995885302815996,1011,0.12999871415713,700,0.09000900090009001,233,0.02996013887102996,233,0.02996013887102996
44143,Rezé,244400404,municipale,2020,1,2020-03-15,29746,12791,16956,512,384,11896,0.43,0.04,0.03,3331,0.2800100874243443,3331,0.2800100874243443,1903,0.15996973772696704,1546,0.12995965030262274,1071,0.09003026227303296,357,0.030010087424344318,357,0.030010087424344318
44150,Saint-Aignan-Grandlieu,244400404,municipale,2020,1,2020-03-15,2738,1178,1561,47,35,1095,0.42999999999999994,0.04,0.03,307,0.28036529680365296,307,0.28036529680365296,175,0.1598173515981735,141,0.12876712328767123,99,0.09041095890410959,33,0.030136986301369864,33,0.030136986301369864
44162,Saint-Herblain,244400404,municipale,2020,1,2020-03-15,34696,14919,19776,597,448,13875,0.43,0.04,0.03,3885,0.28,3885,0.28,2220,0.16,1804,0.13001801801801802,1249,0.09001801801801802,416,0.029981981981981983,416,0.029981981981981983
44166,Saint-Jean-de-Boiseau,244400404,municipale,2020,1,2020-03-15,4134,1777,2356,71,53,1653,0.43,0.04,0.030000000000000002,463,0.28009679370840895,463,0.28009679370840895,263,0.15910465819721717,215,0.13006654567453116,149,0.09013914095583787,50,0.030248033877797943,50,0.030248033877797943
44171,Saint-Léger-les-Vignes,244400404,municipale,2020,1,2020-03-15,1450,624,827,25,19,580,0.43,0.04,0.030000000000000002,164,0.2827586206896552,162,0.2793103448275862,93,0.16034482758620688,75,0.12931034482758622,52,0.0896551724137931,17,0.029310344827586206,17,0.029310344827586206
44190,Saint-Sébastien-sur-Loire,244400404,municipale,2020,1,2020-03-15,19470,8372,11098,335,251,7786,0.43,0.04,0.03,2180,0.279989725147701,2180,0.279989725147701,1246,0.160030824556897,1011,0.12984844592858977,701,0.09003339326997174,234,0.03005394297456974,234,0.03005394297456974
44172,Sainte-Luce-sur-Loire,244400404,municipale,2020,1,2020-03-15,11135,4788,6347,192,144,4453,0.43,0.04,0.030000000000000002,1247,0.2800359308331462,1247,0.2800359308331462,711,0.1596676397933977,579,0.13002470244778802,401,0.09005165057264765,134,0.03009207275993712,134,0.03009207275993712
44194,Sautron,244400404,municipale,2020,1,2020-03-15,5856,2518,3338,101,76,2342,0.42999999999999994,0.04,0.030000000000000002,656,0.28010247651579845,656,0.28010247651579845,375,0.16011955593509822,304,0.12980358667805295,211,0.09009393680614859,70,0.029888983774551667,70,0.029888983774551667
44204,Thouaré-sur-Loire,244400404,municipale,2020,1,2020-03-15,7518,3233,4285,129,97,3006,0.43000000000000005,0.04,0.03,842,0.2801064537591484,842,0.2801064537591484,481,0.16001330671989356,391,0.1300731869594145,271,0.09015302727877578,89,0.029607451763140388,90,0.029940119760479042
44215,Vertou,244400404,municipale,2020,1,2020-03-15,17874,7686,10188,307,231,7148,0.43,0.04,0.03,2003,0.2802182428651371,2001,0.2799384443200895,1144,0.1600447677672076,929,0.12996642417459428,643,0.08995523223279239,214,0.029938444320089536,214,0.029938444320089536
